Year,Cassette,CD,Vinyl,Downloads,Streaming/Subscription,Other
1973,500.940991,0,9465.148198,0,0,3325.984527
1974,517.6372414,0,9201.12069,0,0,3339.116379
1975,537.4407807,0,9228.423931,0,0,3226.820558
1976,749.3819596,0,9813.971977,0,0,3514.431661
1977,1205.390891,0,11784.4345,0,0,3916.554538
1978,2018.960414,0,12269.96485,0,0,4255.167791
1979,2340.433788,0,9717.274697,0,0,2758.454773
1980,2503.905036,0,8701.513956,0,0,1871.71341
1981,3421.713245,0,8364.652976,0,0,1007.711936
1982,4198.765259,0,6696.492285,0,0,109.1769948
1983,5320.973288,50.53881526,5754.079182,0,0,0
1984,6714.728147,290.9649808,5203.850938,0,0,0
1985,6558.899001,1059.378462,4247.033295,0,0,0
1986,6674.18953,2483.562185,3233.891154,0,0,0
1987,7661.584243,4105.413803,2566.914102,0,0,0
1988,8515.938901,5194.31702,1762.856746,0,0,0
1989,8355.772274,6105.632944,794.6527298,0,0,272.3579597
1990,8352.646875,7742.034644,405.0595983,0,0,385.8030337
1991,6983.324156,9395.901498,200.4751211,0,0,253.7632562
1992,7123.635713,11204.74411,166.6652495,0,0,328.3242837
1993,6509.902882,13280.25859,125.1631765,0,0,431.9952353
1994,6420.439956,16825.88524,128.3574561,0,0,456.3601248
1995,4877.391302,18220.46218,137.878143,0,0,423.0439403
1996,3906.916272,18873.91596,157.2391109,0,0,440.3814245
1997,3019.907857,18576.39009,125.6319595,0,0,590.5978474
1998,2718.818813,20879.40813,107.187138,0,0,912.0781595
1999,1949.159592,22904.20617,104.8709694,0,0,661.7235204
2000,1071.708728,22700.64672,91.77334495,0,0,479.0908508
2001,591.7546894,21463.79031,97.16608696,0,0,553.912795
2002,338.6924458,19624.80335,73.85512507,0,0,482.9864897
2003,171.9348125,17923.36918,68.71030435,0,0,690.6021793
2004,36.71743515,17756.83051,60.73094759,284.2890021,0,987.1877501
2005,19.63021249,15780.74281,41.05861239,753.2906733,223.5746339,1597.989206
2006,5.371148313,13617.0223,37.16253968,1271.945987,299.3326438,1839.981213
2007,4.235238784,10537.97997,37.97597443,1886.940053,330.3486252,2238.888396
2008,1.223343381,7441.733715,81.01251724,2322.7213,300.9424718,1782.411306
2009,0,5895.606094,90.44139939,2669.862849,281.282301,1745.259825
2010,0,4552.837604,122.4003742,3013.572371,285.0640294,1439.412295
2011,0,4038.693384,161.3291604,3416.014866,470.4566482,1197.218495
2012,0,3172.432247,210.9135502,3658.582811,727.6005649,1173.179542
2013,0,2692.625815,268.4857628,3545.549242,1085.658799,1244.991164
2014,0,2200.284244,308.2438367,3074.212998,1303.04259,1390.25909
2015,0,1785.672654,418.7416689,2785.68515,1887.549752,1408.485061
2016,0,1379.130423,439.3496136,2161.98081,3647.304847,1507.269708
2017,0,1246.575614,471.1104285,1576.46579,5691.139803,1166.938083
2018,0,810.9608574,495.2555948,1150.710885,7360.339211,1532.205922
2019,0,722.0349658,556.6265598,891.7186896,9127.995931,1443.034236
2020,0,546.7943272,735.2825069,705.9889493,10264.4946,1450.152292
2021,0,632.3228123,1136.689787,620.020286,12283.01715,1482.244599
2022,0,489.3962922,1230.000154,457.3494309,12306.34837,1390.824594
,,,,,,
,,,,,,
,,,,,,
"Music Industry Revenues (adjusted for inflation) by medium, in millions of dollars",,,,,,
Source: RIAA,,,,,,